Query		Subject
scaffold-NDUV-2000077-Vittaria_appalachiana.p1	0	AT1G72680.1
scaffold-NDUV-2000093-Vittaria_appalachiana.p1	21	AT2G41770.1
scaffold-NDUV-2000126-Vittaria_appalachiana.p1	23	AT2G22570.1
scaffold-NDUV-2000169-Vittaria_appalachiana.p1	24	AT2G46580.1
scaffold-NDUV-2000215-Vittaria_appalachiana.p1	25	AT2G01060.1
scaffold-NDUV-2000235-Vittaria_appalachiana.p1	75	AT2G26840.2
scaffold-NDUV-2000275-Vittaria_appalachiana.p1	77	AT5G01520.1
scaffold-NDUV-2000327-Vittaria_appalachiana.p1	108	AT3G20480.1
scaffold-NDUV-2000343-Vittaria_appalachiana.p1	109	AT3G22190.1
scaffold-NDUV-2000370-Vittaria_appalachiana.p1	142	AT1G22400.1
scaffold-NDUV-2000372-Vittaria_appalachiana.p1	192	AT3G63490.1
scaffold-NDUV-2000375-Vittaria_appalachiana.p1	194	AT1G30360.1
scaffold-NDUV-2000390-Vittaria_appalachiana.p1	210	AT2G27810.4
scaffold-NDUV-2000401-Vittaria_appalachiana.p1	222	AT5G60980.2
scaffold-NDUV-2000420-Vittaria_appalachiana.p1	236	AT5G27620.2
scaffold-NDUV-2000544-Vittaria_appalachiana.p1	245	AT5G01990.1
scaffold-NDUV-2000565-Vittaria_appalachiana.p1	252	AT4G32180.1
scaffold-NDUV-2000588-Vittaria_appalachiana.p1	257	AT1G22040.1
scaffold-NDUV-2000592-Vittaria_appalachiana.p1	294	AT1G10050.3
scaffold-NDUV-2000681-Vittaria_appalachiana.p1	311	AT2G26200.1
scaffold-NDUV-2000744-Vittaria_appalachiana.p1	317	AT4G37480.1
scaffold-NDUV-2000746-Vittaria_appalachiana.p1	367	AT3G04470.1
scaffold-NDUV-2000754-Vittaria_appalachiana.p1	373	AT1G07940.1
scaffold-NDUV-2000761-Vittaria_appalachiana.p1	383	AT1G70320.1
scaffold-NDUV-2000769-Vittaria_appalachiana.p1	387	AT5G64740.1
scaffold-NDUV-2000805-Vittaria_appalachiana.p1	436	AT4G35090.1
scaffold-NDUV-2000807-Vittaria_appalachiana.p1	439	AT5G55090.2
scaffold-NDUV-2000826-Vittaria_appalachiana.p1	489	AT1G32360.1
scaffold-NDUV-2000902-Vittaria_appalachiana.p2	497	AT5G52450.1
scaffold-NDUV-2000919-Vittaria_appalachiana.p1	547	AT4G37560.1
scaffold-NDUV-2000971-Vittaria_appalachiana.p1	549	AT4G37020.2
scaffold-NDUV-2000981-Vittaria_appalachiana.p1	554	AT2G25170.3
scaffold-NDUV-2000983-Vittaria_appalachiana.p1	612	AT5G64370.1
scaffold-NDUV-2001033-Vittaria_appalachiana.p1	618	AT3G16260.1
scaffold-NDUV-2001065-Vittaria_appalachiana.p1	620	AT3G63540.1
scaffold-NDUV-2001072-Vittaria_appalachiana.p1	623	AT5G52440.1
scaffold-NDUV-2001123-Vittaria_appalachiana.p1	624	AT3G25700.1
scaffold-NDUV-2001192-Vittaria_appalachiana.p1	676	AT4G25610.1
scaffold-NDUV-2001252-Vittaria_appalachiana.p1	678	AT1G55020.1
scaffold-NDUV-2001263-Vittaria_appalachiana.p1	684	AT1G78240.1
scaffold-NDUV-2001280-Vittaria_appalachiana.p1	713	AT4G00330.1
scaffold-NDUV-2001316-Vittaria_appalachiana.p1	763	AT5G25610.1
scaffold-NDUV-2001338-Vittaria_appalachiana.p1	768	AT5G26710.1
scaffold-NDUV-2001343-Vittaria_appalachiana.p1	771	AT5G54260.2
scaffold-NDUV-2001383-Vittaria_appalachiana.p1	772	AT2G27190.1
scaffold-NDUV-2001437-Vittaria_appalachiana.p1	793	AT2G29140.1
scaffold-NDUV-2001449-Vittaria_appalachiana.p1	837	AT1G07940.1
scaffold-NDUV-2001622-Vittaria_appalachiana.p2	961	AT1G09930.1
scaffold-NDUV-2001626-Vittaria_appalachiana.p1	970	AT2G36895.3
scaffold-NDUV-2001677-Vittaria_appalachiana.p1	971	AT3G12400.2
scaffold-NDUV-2001699-Vittaria_appalachiana.p1	974	AT2G41950.1
scaffold-NDUV-2001751-Vittaria_appalachiana.p1	975	AT1G11290.1
scaffold-NDUV-2001759-Vittaria_appalachiana.p1	1164	AT1G31120.1
scaffold-NDUV-2001787-Vittaria_appalachiana.p1	1178	AT1G15820.1
scaffold-NDUV-2001871-Vittaria_appalachiana.p1	1201	AT1G22340.1
scaffold-NDUV-2001894-Vittaria_appalachiana.p1	1251	AT1G62390.1
scaffold-NDUV-2001915-Vittaria_appalachiana.p2	1264	AT4G20770.1
scaffold-NDUV-2001930-Vittaria_appalachiana.p1	1449	AT1G72820.1
scaffold-NDUV-2001932-Vittaria_appalachiana.p1	1531	AT1G30360.1
scaffold-NDUV-2002021-Vittaria_appalachiana.p1	1545	AT3G06350.1
scaffold-NDUV-2002023-Vittaria_appalachiana.p1	1546	AT2G40300.1
scaffold-NDUV-2002039-Vittaria_appalachiana.p2	1551	AT5G57800.1
scaffold-NDUV-2002052-Vittaria_appalachiana.p1	1555	AT5G14230.1
scaffold-NDUV-2002072-Vittaria_appalachiana.p1	1598	AT2G24100.1
scaffold-NDUV-2002090-Vittaria_appalachiana.p1	1602	AT3G13224.2
scaffold-NDUV-2002126-Vittaria_appalachiana.p1	1691	AT1G16520.1
scaffold-NDUV-2002128-Vittaria_appalachiana.p1	1694	AT4G26080.1
scaffold-NDUV-2002156-Vittaria_appalachiana.p1	1737	AT1G44910.1
scaffold-NDUV-2002185-Vittaria_appalachiana.p3	1739	AT1G50010.1
scaffold-NDUV-2002193-Vittaria_appalachiana.p1	1756	AT3G02570.1
scaffold-NDUV-2002200-Vittaria_appalachiana.p1	1758	AT4G01080.1
scaffold-NDUV-2002211-Vittaria_appalachiana.p1	1805	AT1G53530.1
scaffold-NDUV-2002218-Vittaria_appalachiana.p1	1814	AT1G71720.1
scaffold-NDUV-2002240-Vittaria_appalachiana.p1	1830	AT5G59790.1
scaffold-NDUV-2002272-Vittaria_appalachiana.p1	1845	AT3G14270.1
scaffold-NDUV-2002275-Vittaria_appalachiana.p1	1850	AT3G54190.1
scaffold-NDUV-2002389-Vittaria_appalachiana.p1	1853	AT5G04710.1
scaffold-NDUV-2002396-Vittaria_appalachiana.p1	1855	AT5G61960.1
scaffold-NDUV-2002468-Vittaria_appalachiana.p1	1909	AT5G52920.1
scaffold-NDUV-2002499-Vittaria_appalachiana.p1	1923	AT2G46610.1
scaffold-NDUV-2002525-Vittaria_appalachiana.p1	1935	AT5G56030.2
scaffold-NDUV-2002602-Vittaria_appalachiana.p1	1944	AT4G30080.1
scaffold-NDUV-2002622-Vittaria_appalachiana.p1	1993	AT3G12110.1
scaffold-NDUV-2002655-Vittaria_appalachiana.p1	2014	AT5G19770.1
scaffold-NDUV-2002697-Vittaria_appalachiana.p1	2031	AT2G45300.1
scaffold-NDUV-2002703-Vittaria_appalachiana.p1	2033	AT2G47470.1
scaffold-NDUV-2002719-Vittaria_appalachiana.p1	2094	AT5G38480.1
scaffold-NDUV-2002722-Vittaria_appalachiana.p1	2117	AT5G02560.2
scaffold-NDUV-2002731-Vittaria_appalachiana.p1	2122	AT5G17060.1
scaffold-NDUV-2002744-Vittaria_appalachiana.p1	2172	AT3G24000.1
scaffold-NDUV-2002752-Vittaria_appalachiana.p1	2371	AT2G29630.1
scaffold-NDUV-2002795-Vittaria_appalachiana.p2	2372	AT3G29390.1
scaffold-NDUV-2002807-Vittaria_appalachiana.p1	2373	AT1G48450.1
